Scholarship Name,Provider,Amount,Closing Date,Degree(s),Status,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond the North Scholarship,Calgary Foundation,"$1,000",5/31/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/12384/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCN 11th Annual Aim 2 Achieve Awards,Black Foundation of Community Networks,"$1,000",7/31/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/15028/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill 7 Award,Bill 7 Award,$4.50,N/A,"Applied bachelor, Certificate, Diploma",N/A,https://universitystudy.ca/scholarship/14522/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill 7 Award,Bill 7 Award,"$4,000",7/31/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/14806/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill 7 Award,Bill 7 Award,N/A,8/1/2024,N/A,N/A,https://universitystudy.ca/scholarship/12729/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Eansor Award ($1250 x 8 terms),University of Windsor,Variable,4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14161/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Gibson Bursary,Calgary Foundation,"$10,000",5/14/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/12385/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioWorks IPM/Sustainable Practices Scholarship,American Floral Endowment,N/A,4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/12386/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Community Leader Scholarship,Export Development Canada,"$5,000",4/30/2025,N/A,N/A,https://universitystudy.ca/scholarship/14717/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Water Shipmaster's Scholarship,Community Foundation of St. Clair County,N/A,3/16/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/14656/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMO Capital Markets Lime Connect Equity Through Education Scholarship,Lime Connect,"$10,000",4/6/2025,"Bachelor, Graduate degree, Masters",N/A,https://universitystudy.ca/scholarship/12387/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Baxter Scholarship,National Press Photographers Foundation,"$2,000",2/8/2025,"Bachelor, Graduate degree",N/A,https://universitystudy.ca/scholarship/12388/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob East Scholarship,National Press Photographers Foundation,"$2,000",2/8/2025,"Bachelor, Graduate degree",N/A,https://universitystudy.ca/scholarship/12390/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Rintoul Memorial Scholarship,Alberta Golf Foundation,N/A,7/14/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/15053/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobbie Bliss Pittman Scholarship,Pi Beta Phi Foundation,N/A,2/14/2026,Bachelor,Opening soon,https://universitystudy.ca/scholarship/12389/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bold Award,Phycological Society of America,"$1,000",5/31/2026,Graduate degree,Open,https://universitystudy.ca/scholarship/15155/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bora Laskin Scholarship,Sigma Alpha Mu Foundation,"$1,000",1/29/2025,N/A,N/A,https://universitystudy.ca/scholarship/12391/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Baker Tilly (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12756/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Bernard Paul Lacroix (5000$),Université de Hearst,"$5,000",N/A,Diploma,N/A,https://universitystudy.ca/scholarship/12751/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Club Richelieu de Timmins (2000$),Université de Hearst,"$2,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12753/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse d'études de l'Aluminerie Alcoa de Baie-Comeau,Alcoa Canada Cie.,"$1,000",5/15/2024,N/A,N/A,https://universitystudy.ca/scholarship/13552/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse d'excellence de 6000$ ou de 8000$,Université de Hearst,N/A,N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12768/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse d'un ancien (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12757/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse de l'Alliance de la Francophonie de Timmins (250$),Université de Hearst,$250,N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12755/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse de l'APUH (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12762/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse de la Caisse Alliance - Hearst (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12758/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse de la Caisse Alliance - Timmins (500$),Université de Hearst,$500,N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12754/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse de mérite de 4000$ à 6000$,Université de Hearst,N/A,N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12767/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Denis-Cheff (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12761/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse en psychologie (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12759/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Georgette Lemoyne,Canadian Federation for University Women,"$5,000",1/10/2024,"Masters, Phd",N/A,https://universitystudy.ca/scholarship/13619/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Jacqueline et Jean-Noël Lafrance (1000 $),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12760/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Maurice-Saulnier,Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12765/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Mgr Louis-Levesque,Université de Hearst,"$3,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12769/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Mgr Louis-Levesque,Université de Hearst,"$3,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12770/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Roger-Bernard (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12764/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourse Rose et Maurice Lecours (1000$),Université de Hearst,"$1,000",N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12763/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourses d'étude de 3000$ ou de 4000$,Université de Hearst,N/A,N/A,Bachelor,N/A,https://universitystudy.ca/scholarship/12766/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Canada Energy Scholarship,Inuvialuit Education Foundation,N/A,N/A,N/A,N/A,https://universitystudy.ca/scholarship/12687/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Fudge Memorial Scholarship,Nupge,"$2,500",7/14/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/15088/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Fudge Memorial Scholarship,Nupge,"$2,500",7/31/2024,N/A,N/A,https://universitystudy.ca/scholarship/12741/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Keith Briggs Memorial Entrance Scholarship ($1750 x 2 terms),University of Windsor,Variable,4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14162/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Ruestow Scholarship,SME Education Foundation,N/A,1/31/2026,Bachelor,Opening soon,https://universitystudy.ca/scholarship/12392/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol-Myers Squibb Canada Co. Scholarship,Bristol-Myers Squibb Canada Co.,"$2,000",5/15/2024,"Bachelor, Professional degree",N/A,https://universitystudy.ca/scholarship/13536/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol-Myers Squibb Canada Co. Scholarship,Bristol-Myers Squibb Canada Co.,"$1,000",5/15/2024,Diploma,N/A,https://universitystudy.ca/scholarship/13567/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol-Myers Squibb Canada Co. Scholarship,Bristol-Myers Squibb Canada Co.,"$2,500",5/15/2024,N/A,N/A,https://universitystudy.ca/scholarship/13642/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadridge Canada Scholarship,Broadridge Financial Solutions (Canada) Inc.,"$1,500",5/15/2024,"Bachelor, Diploma",N/A,https://universitystudy.ca/scholarship/13456/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown & Caldwell Scholarship,American Water Works Association,"$5,000",12/18/2025,"Bachelor, Graduate degree",Open,https://universitystudy.ca/scholarship/12421/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Daye Scholarship,The Community Foundation of Nova Scotia,N/A,4/29/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/15010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build a Dream Prize - Faculty of Science,University of Windsor,$500.00,4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14163/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunge Canada Scholarship,Bunge Canada,"$1,500",5/1/2024,"Bachelor, Diploma",N/A,https://universitystudy.ca/scholarship/13448/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunzl Canada Inc. Scholarship,Bunzl Canada Inc.,"$3,000",5/1/2024,"Bachelor, Diploma",N/A,https://universitystudy.ca/scholarship/13449/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burger King Scholarship,Burger King Foundation,"$1,000",12/15/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",Open,https://universitystudy.ca/scholarship/12393/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burns Lodge Legacy Scholarship,The Community Foundation of Nova Scotia,N/A,4/29/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/15011/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursaries for Postsecondary Studies in French as a Second Language (FSL Bursary Program),Association des collèges et université de la francophonie canadienne (ACUFC),"$3,000",N/A,N/A,N/A,https://universitystudy.ca/scholarship/14848/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton MacDonald and Rosemarie Sampson Fellowship,The American Center of Research,"$2,500",2/14/2026,"Associate degree, Bachelor, Graduate degree",Open,https://universitystudy.ca/scholarship/14585/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Thomas Hardin and Mary C. Hardin Documentary Photojournalism Scholarship,National Press Photographers Foundation,"$2,000",2/8/2025,"Bachelor, Graduate degree",N/A,https://universitystudy.ca/scholarship/12418/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.D. Howe Scholarship Endowment Fund Thunder Bay / Port Arthur Scholarship Program,C.D. Howe Memorial Foundation,"$5,500",5/15/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13360/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.D. Howe Scholarship Endowment Fund Thunder Bay / Port Arthur Scholarship Program,C.D. Howe Memorial Foundation,"$5,500",5/15/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13361/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M. Dare Award (Dare Foods Limited),Dare Foods Limited,"$2,000",3/6/2024,Diploma,N/A,https://universitystudy.ca/scholarship/13585/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M. Dare Award (Dare Foods Limited),Dare Foods Limited,"$2,000",3/6/2024,Diploma,N/A,https://universitystudy.ca/scholarship/13586/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M. Dare Award (Dare Foods Limited),Dare Foods Limited,"$2,000",3/6/2024,Diploma,N/A,https://universitystudy.ca/scholarship/13611/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M. Dare Award (Dare Foods Limited),Dare Foods Limited,"$3,000",3/6/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13390/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M. Dare Award (Dare Foods Limited),Dare Foods Limited,"$3,000",3/6/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13391/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M. Dare Award (Dare Foods Limited),Dare Foods Limited,"$3,000",3/6/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13430/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadence First-Generation Student Scholarship,Cadence Design Systems,"$5,000",2/26/2026,"Bachelor, Graduate degree, Phd",Open,https://universitystudy.ca/scholarship/15089/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFC Scholarship,Children's Aid Foundation of Canada,"$5,000",1/31/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/14940/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Black Chambers Anderson Ruffin Abbott Academic AchievementScholarship,Calgary Foundation,"$2,500",5/31/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12394/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Black Chambers Blakes Law Scholarship,Calgary Foundation,"$7,000",5/31/2025,Diploma,N/A,https://universitystudy.ca/scholarship/12395/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Black Chambers BMO Community Leadership Scholarship,Calgary Foundation,"$5,000",5/31/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12396/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Black Chambers John Ware Fellowship Scholarship,Calgary Foundation,"$2,500",5/31/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12397/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Black Chambers Olivier Le Jeune Advocacy Scholarship,Calgary Foundation,"$2,500",5/31/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12398/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Black Chambers Violet King Legacy Scholarship,Calgary Foundation,"$2,500",5/31/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12400/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Catholic School District Kerry Dyte Educational Scholarship,Calgary Foundation,"$4,000",5/29/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12401/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calgary Foundation First Nations, Métis and Inuit Graduate Bursary",Calgary Foundation,"$3,000",5/14/2025,"Graduate degree, Certificate, Diploma",N/A,https://universitystudy.ca/scholarship/12402/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California P.E.O. Scholarship,P.E.O. Foundation-California State Chapter,N/A,1/14/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor, Graduate degree",Open,https://universitystudy.ca/scholarship/15156/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameco - Northern Saskatchewan Scholarship,Northern Affairs Office - Cameco Corp,N/A,N/A,N/A,N/A,https://universitystudy.ca/scholarship/12692/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camello-Doctor Family Music Heritage Bursary,University of Windsor,$900.00,4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14164/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Graduate Scholarships - Doctoral program,Government of Canada,"$40,000",10/17/2025,Phd,N/A,https://universitystudy.ca/scholarship/14704/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Graduate Scholarships - Michael Smith Foreign Study Supplements,Government of Canada,"$6,000",6/10/2025,N/A,N/A,https://universitystudy.ca/scholarship/14709/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Caribbean Association of Waterloo Region Scholarships,Canadian Caribbean Association of Waterloo Region,$1.50,N/A,N/A,N/A,https://universitystudy.ca/scholarship/14504/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Caribbean Association of Waterloo Region Scholarships,Canadian Caribbean Association of Waterloo Region,N/A,N/A,N/A,N/A,https://universitystudy.ca/scholarship/12690/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Hard of Hearing Association Scholarships - Newfoundland and Labrador,Canadian Hard of Hearing Association - Newfoundland and Labrador,N/A,N/A,N/A,N/A,https://universitystudy.ca/scholarship/12682/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Home Economics Association (CHEA) Fellowship,Canadian Federation for University Women,"$6,000",1/10/2024,"Masters, Phd",N/A,https://universitystudy.ca/scholarship/13548/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Insurance Claims Education Benevolent Foundation Scholarship,Canadian Independent Adjusters' Association (CIAA),$1,7/30/2024,N/A,N/A,https://universitystudy.ca/scholarship/12775/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Italian Business & Professional Association Scholarships,University of Windsor,"$1,100.00",4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14165/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Red Angus Promotion Society Scholarship,Canadian Angus Foundation,N/A,N/A,N/A,N/A,https://universitystudy.ca/scholarship/12673/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Scholarship,Horatio Alger Association of Canada,"$10,000",3/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14744/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Women in STEM Scholarship,FIRST Robotics Canada,"$10,000",1/30/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/14586/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cargill Scholarship,Cargill Limited,"$1,000",3/15/2024,Diploma,N/A,https://universitystudy.ca/scholarship/13558/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cargill Scholarship,Cargill Limited,$500,3/15/2024,N/A,N/A,https://universitystudy.ca/scholarship/13661/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cargill Scholarship,Cargill Limited,$500,3/15/2024,N/A,N/A,https://universitystudy.ca/scholarship/13662/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cargill Scholarship,Cargill Limited,"$1,000",3/15/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13343/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carlo and Domenica Liburdi Memorial Award ($5,000 x 8 terms)",University of Windsor,"$10,000.00",4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14166/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlson-Johnson Scholarship for Nontraditional Students,American Floral Endowment,N/A,4/30/2025,"Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12403/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie African Diaspora Fellowship,IIE,N/A,9/14/2024,N/A,N/A,https://universitystudy.ca/scholarship/12721/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol Inge Warren Scholarship,Pi Beta Phi Foundation,N/A,2/14/2026,Bachelor,Opening soon,https://universitystudy.ca/scholarship/12404/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carollo Engineers Bryant L. Bench Scholarship,American Water Works Association,"$10,000",12/18/2025,Graduate degree,Open,https://universitystudy.ca/scholarship/12405/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn Pavletich Lesh Scholarship,Pi Beta Phi Foundation,N/A,2/14/2026,Bachelor,Opening soon,https://universitystudy.ca/scholarship/12406/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casualty Actuaries of Greater New York Scholarship,Casualty Actuaries of Greater New York,"$5,000",12/14/2025,Bachelor,Open,https://universitystudy.ca/scholarship/15136/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM Smith Thomas R. Camp Scholarship,American Water Works Association,"$10,000",12/18/2025,Graduate degree,Open,https://universitystudy.ca/scholarship/12407/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cecil Houston Diaspora Scholarship ($1,000 x 2 terms)",University of Windsor,"$2,000.00",4/30/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14167/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenovus Energy STEM Scholarship,Cenovus,"$5,000",6/5/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13432/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centuri Scholarship,Centuri Group,"$5,000",5/1/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12408/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century Scholarship,American Library Association,"$2,500",2/28/2026,"Graduate degree, Phd",Open,https://universitystudy.ca/scholarship/15154/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceres Scholarship,Imperial College London,"$8,800",1/31/2025,Bachelor,N/A,https://universitystudy.ca/scholarship/14616/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFUW Indigenous Women’s Award,Canadian Federation for University Women,"*Variable – up to $20,000. Renewable under certain conditions.",1/10/2024,Masters,N/A,https://universitystudy.ca/scholarship/13540/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFUW Memorial Fellowship,Canadian Federation for University Women,"$8,000",1/10/2024,Masters,N/A,https://universitystudy.ca/scholarship/13547/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGC Merit Scholarship,CGC Inc.,"$2,500",5/15/2024,"Bachelor, Diploma",N/A,https://universitystudy.ca/scholarship/13433/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 1 Detroit Associate Scholarship,SME Education Foundation,N/A,1/31/2026,"Pre university diploma, Apprenticeship program, Associate degree",Opening soon,https://universitystudy.ca/scholarship/12409/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 1 Detroit Graduate Scholarship,SME Education Foundation,N/A,1/31/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor, Graduate degree",Opening soon,https://universitystudy.ca/scholarship/12410/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 1 Detroit Undergraduate Scholarship,SME Education Foundation,N/A,1/31/2026,Bachelor,Opening soon,https://universitystudy.ca/scholarship/12411/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 6 Fairfield County Scholarship,SME Education Foundation,N/A,1/31/2026,"Associate degree, Bachelor",Opening soon,https://universitystudy.ca/scholarship/12412/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles ""Chick"" Roberts Scholarship",American Water Works Association,"$5,000",12/18/2025,Graduate degree,Open,https://universitystudy.ca/scholarship/12413/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles C. Reid Scholarship,Alberta Golf Foundation,"$1,000",7/14/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/15054/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
